№ УИК,Адрес голосования,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
53.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Дровяная, дом 7 а, ",,,,,,,,,,,
54.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Циолковского, дом 8, ",,,,,,,,,,,
55.0,"190103, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Циолковского, дом 8, ",,,,,,,,,,,
56.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Курляндская, дом 43, ",,,,,,,,,,,
57.0,"198095, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Шкапина, дом 6, ",,,,,,,,,,,
58.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Старо-Петергофский проспект, дом 33, ",,,,,,,,,,,
59.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Нарвский проспект, дом 6, ",,,,,,,,,,,
60.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Старо-Петергофский проспект, дом 33, ",,,,,,,,,,,
61.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Бумажная, дом 5, ",,,,,,,,,,,
62.0,,,,,,,,,,,,
63.0,,,,,,,,,,,,
104.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Кадетская линия В.О., дом 3, литера А, ",,,,,,,,,,,
105.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Кадетская линия В.О., дом 3, литера А, ",,,,,,,,,,,
106.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 2-я линия В.О., дом 23, литера А, ",,,,,,,,,,,
107.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 5-я линия В.О., дом 16/17, ",,,,,,,,,,,
108.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 5-я линия В.О., дом 16/17, ",,,,,,,,,,,
109.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 9-я линия В.О., дом 6, ",,,,,,,,,,,
110.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 9-я линия В.О., дом 6, ",,,,,,,,,,,
111.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, набережная Лейтенанта Шмидта, дом 15/1, ",,,,,,,,,,,
112.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 13-я линия В.О., дом 28 А, ",,,,,,,,,,,
113.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 13-я линия В.О., дом 28 А, ",,,,,,,,,,,
114.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, набережная Лейтенанта Шмидта, дом 15/1, ",,,,,,,,,,,
115.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 65, ",,,,,,,,,,,
116.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 65, ",,,,,,,,,,,
117.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 65, ",,,,,,,,,,,
118.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 88, ",,,,,,,,,,,
119.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 2-я линия В.О., дом 43, литера В, ",,,,,,,,,,,
120.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 2-я линия В.О., дом 43, литера В, ",,,,,,,,,,,
121.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Средний проспект В.О., дом 20, ",,,,,,,,,,,
122.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 7-я линия В.О., дом 66, ",,,,,,,,,,,
123.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Средний проспект В.О., дом 31/52, ",,,,,,,,,,,
124.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Средний проспект В.О., дом 31/52, ",,,,,,,,,,,
125.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",,,,,,,,,,,
126.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, Малый проспект В.О., дом 34, ",,,,,,,,,,,
127.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 17-я линия В.О., дом 34, ",,,,,,,,,,,
128.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 16-я линия В.О., дом 55, ",,,,,,,,,,,
