№ УИК,Адрес голосования,Координаты
1464.0,"193232, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ N54, Большевиков проспект, дом 23, ",59.904195 30.481686
1465.0,"193232, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ N54, Большевиков проспект, дом 23, ",59.904195 30.481686
1466.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 12, корпус 2, ",59.903693 30.462943
1467.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 12, корпус 2, ",59.903693 30.462943
1468.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 12, корпус 2, ",59.903693 30.462943
1469.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 12, корпус 2, ",59.903693 30.462943
1470.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 20, корпус 4, ",59.90635 30.4713329
1471.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 20, корпус 4, ",59.90635 30.4713329
1472.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 24, корпус 4, ",59.9063321 30.4796075
1473.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 24, корпус 4, ",59.9063321 30.4796075
1474.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 24, корпус 4, ",59.9063321 30.4796075
1475.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Дыбенко улица, дом 24, корпус 4, ",59.9063321 30.4796075
1476.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Белышева улица, дом 6, литера А, ",59.912191 30.455704
1477.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Белышева улица, дом 6, литера А, ",59.912191 30.455704
1478.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Белышева улица, дом 6, литера А, ",59.912191 30.455704
1479.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Белышева улица, дом 6, литера А, ",59.912191 30.455704
1480.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Коллонтай улица, дом 19, корпус 5, ",59.91509929999999 30.4663886
1481.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Коллонтай улица, дом 19, корпус 5, ",59.91509929999999 30.4663886
1482.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Коллонтай улица, дом 19, корпус 5, ",59.91509929999999 30.4663886
1483.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Коллонтай улица, дом 19, корпус 5, ",59.91509929999999 30.4663886
1484.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Подвойского улица, дом 18, корпус 3, ",59.91446999999999 30.4678301
1485.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Подвойского улица, дом 18, корпус 3, ",59.91446999999999 30.4678301
1486.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Подвойского улица, дом 18, корпус 3, ",59.91446999999999 30.4678301
1487.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Невский округ, Подвойского улица, дом 18, корпус 3, ",59.91446999999999 30.4678301
1488.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Большевиков проспект, дом 4, корпус 2, ",59.917571 30.477496
1489.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Большевиков проспект, дом 4, корпус 2, ",59.917571 30.477496
1490.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Большевиков проспект, дом 4, корпус 2, ",59.917571 30.477496
1491.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Большевиков проспект, дом 4, корпус 2, ",59.917571 30.477496
1492.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Большевиков проспект, дом 4, корпус 2, ",59.917571 30.477496
1493.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Товарищеский проспект, дом 10, корпус 2, ",59.9191276 30.4873682
1494.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Товарищеский проспект, дом 10, корпус 2, ",59.9191276 30.4873682
1495.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Солидарности проспект, дом 11, корпус 2, литера Ы, ",59.919562 30.489426
1496.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Солидарности проспект, дом 11, корпус 2, литера Ы, ",59.919562 30.489426
1497.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Солидарности проспект, дом 11, корпус 2, литера Ы, ",59.919562 30.489426
1498.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Товарищеский проспект, дом 28, корпус 2, ",59.913362 30.491545
1499.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Товарищеский проспект, дом 28, корпус 2, ",59.913362 30.491545
1500.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Товарищеский проспект, дом 28, корпус 2, ",59.913362 30.491545
1501.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Товарищеский проспект, дом 28, корпус 2, ",59.913362 30.491545
1502.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Товарищеский проспект, дом 28, корпус 2, ",59.913362 30.491545
1503.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Подвойского улица, дом 50, корпус 4, ",59.923331 30.5004
1504.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Подвойского улица, дом 50, корпус 4, ",59.923331 30.5004
1505.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Подвойского улица, дом 50, корпус 4, ",59.923331 30.5004
1506.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Коллонтай улица, дом 41, корпус 2, ",59.92496970000001 30.4947996
1507.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Оккервиль, Коллонтай улица, дом 41, корпус 2, ",59.92496970000001 30.4947996
1508.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Коллонтай улица, дом 36, ПНИ №10",59.9270336 30.4930338
1509.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Солидарности проспект, дом 3, корпус 4, ",59.925794 30.482118
1510.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Солидарности проспект, дом 3, корпус 4, ",59.925794 30.482118
1511.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Солидарности проспект, дом 3, корпус 4, ",59.925794 30.482118
1512.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Солидарности проспект, дом 1, корпус 2, ",59.927786 30.4815491
1513.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Солидарности проспект, дом 1, корпус 2, ",59.927786 30.4815491
1514.0,"193312, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Солидарности проспект, дом 1, корпус 2, ",59.927786 30.4815491
1515.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Латышских Стрелков улица, дом 9, корпус 3, ",59.930063 30.4677541
1516.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Латышских Стрелков улица, дом 9, корпус 3, ",59.930063 30.4677541
1517.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Латышских Стрелков улица, дом 9, корпус 3, ",59.930063 30.4677541
1518.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Латышских Стрелков улица, дом 9, корпус 1, ",59.928394 30.466114
1519.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Латышских Стрелков улица, дом 9, корпус 1, ",59.928394 30.466114
1520.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Латышских Стрелков улица, дом 9, корпус 1, ",59.928394 30.466114
1521.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, набережная реки Оккервиль, дом 10, ",59.92083909999999 30.4670452
1522.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, набережная реки Оккервиль, дом 10, ",59.92083909999999 30.4670452
1523.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, набережная реки Оккервиль, дом 10, ",59.92083909999999 30.4670452
1524.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Джона Рида улица, дом 6, литера А, ",59.92074 30.449959
1525.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Джона Рида улица, дом 6, литера А, ",59.92074 30.449959
1526.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Коллонтай улица, дом 4, корпус 2, ",59.91572910000001 30.4456053
1527.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Джона Рида улица, дом 6, литера А, ",59.92074 30.449959
1528.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Джона Рида улица, дом 6, литера А, ",59.92074 30.449959
1529.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Джона Рида улица, дом 3, корпус 1, ",59.91952500000001 30.457157
1530.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Пятилеток проспект, дом 6, корпус 3, ",59.920053 30.4594281
1531.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Пятилеток проспект, дом 6, корпус 3, ",59.920053 30.4594281
1532.0,"193318, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Коллонтай улица, дом 4, корпус 2, ",59.91572910000001 30.4456053
1533.0,"193149, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Народный, Русановская улица, дом 15, корпус 2, ",59.8644715 30.5089741
1534.0,"193149, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Народный, Русановская улица, дом 15, корпус 2, ",59.8644715 30.5089741
1535.0,"193231, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Латышских Стрелков улица, дом 9, корпус 3, ",59.930063 30.4677541
1536.0,"193168, Город Санкт-Петербург, Невский район, муниципальное образование муниципальный округ Правобережный, Дальневосточный проспект, дом 8, корпус 1, ",59.91620919999999 30.4332983
1537.0,,""
1538.0,,""
1058.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Петергофское шоссе, дом 5, корпус 3, ",59.848487 30.204318
1059.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Петергофское шоссе, дом 5, корпус 3, ",59.848487 30.204318
1060.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Петергофское шоссе, дом 5, корпус 3, ",59.848487 30.204318
1061.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Петергофское шоссе, дом 5, корпус 4, ",59.848302 30.20213
1062.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Петергофское шоссе, дом 5, корпус 4, ",59.848302 30.20213
1063.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Петергофское шоссе, дом 5, корпус 4, ",59.848302 30.20213
1064.0,"198330, Город Санкт-Петербург, Красносельский район, муниципальное образование муниципальный округ Юго-Запад, Маршала Захарова улица, дом 52, ",59.851896 30.206458
