№ УИК,Адрес голосования,Координаты
20.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Казанская улица, дом 27, ",59.930353 30.3159486
21.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, Казанская улица, дом 48, ",59.9284726 30.3099798
22.0,"190031, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Сенной округ, улица Гражданская, дом 26, ",59.9270383 30.3094552
23.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная канала Грибоедова, дом 123, ",59.92303709999999 30.30340109999999
24.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Средняя Подьяческая, дом 1, ",59.926418 30.3034659
25.0,"190068, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Средняя Подьяческая, дом 1, ",59.926418 30.3034659
26.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Большая Морская, дом 61, ",59.93067859999999 30.2997031
27.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная канала Грибоедова, дом 83, ",59.9269657 30.3062303
28.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная канала Грибоедова, дом 83, ",59.9269657 30.3062303
29.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Большая Морская, дом 33, ",59.93340259999999 30.31091799999999
30.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, набережная Адмиралтейского канала, дом 11-13, ",59.93091549999999 30.2896015
31.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, Адмиралтейская набережная, дом 4, ",59.93900699999999 30.308488
32.0,"190000, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Адмиралтейский округ, улица Якубовича, дом 26, ",59.9311603 30.2948768
33.0,"191180, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Бородинская, дом 11, ",59.9247977 30.3325366
34.0,"191180, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Бородинская, дом 11, ",59.9247977 30.3325366
35.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Можайская, дом 1, ",59.91828599999999 30.32462
36.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Верейская, дом 20, ",59.916231 30.325866
37.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Верейская, дом 20, ",59.916231 30.325866
38.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Серпуховская, дом 39, ",59.912123 30.326127
39.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Серпуховская, дом 39, ",59.912123 30.326127
40.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, улица Бронницкая, дом 34, ",59.9128925 30.3243683
41.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Московский проспект, дом 24-26/49, ",59.891026 30.3199853
42.0,"190013, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Семеновский, Малодетскосельский проспект, дом 23, ",59.9124634 30.32263529999999
43.0,"190005, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Измайловское, Советский переулок, дом 4, ",59.9148987 30.3102939
